SUBCAT,DESCRICAO
H269,Catarata nao especificada
H270,Afacia
H271,Deslocamento do cristalino
H278,Outros transtornos especificados do cristalino
H279,Transtorno nao especificado do cristalino
H280,Catarata diabetica
H281,Catarata em outras doencas endocrinas nutricionais e metabolicas
H282,Catarata em outras doencas classificadas em outra parte
H288,Outros transtorno do cristalino em doencas classificadas em outra parte
H300,Inflamacao coriorretiniana focal
H301,Inflamacao corrorretiniana disseminada
H302,Ciclite posterior
H308,Outras inflamacoes coriorretinianas
H309,Inflamacao nao especificada da coroide e da retina
H310,Cicatrizes coriorretinianas
H311,Degeneracao da coroide
H312,Distrofia hereditaria da coroide
H313,Hemorragia e rotura da coroide
H314,Descolamento da coroide
H318,Outros transtornos especificados da coroide
H319,Transtorno nao especificado da coroide
H320,Inflamacao coriorretiniana em doencas infecciosas e parasitarias classificadas em outra parte
H328,Outros transtornos coriorretinianos em doencas classificadas em outra parte
H330,Descolamento da retina com defeito retiniano
H331,Retinosquise e cistos da retina
H332,Descolamento seroso da retina
H333,Defeitos da retina sem descolamento
H334,Descolamento da retina por tracao
H335,Outros descolamentos da retina
H340,Oclusao arterial retiniana transitoria
H341,Oclusao da arteria retiniana central
H342,Outras oclusoes da arteria retiniana
H348,Outras oclusoes vasculares retinianas
H349,Oclusao vascular retiniana nao especificada
H350,Retinopatias de fundo e alteracoes vasculares da retina
H351,Retinopatia da prematuridade
H352,Outras retinopatias proliferativas
H353,Degeneracao da macula e do polo posterior
H354,Degeneracoes perifericas da retina
H355,Distrofias hereditarias da retina
H356,Hemorragia retiniana
H357,Separacao das camadas da retina
H358,Outros transtornos especificados da retina
H359,Transtorno da retina nao especificado
H360,Retinopatia diabetica
H368,Outros transtornos retinianos em doencas classificadas em outra parte
H400,Suspeita de glaucoma
H401,Glaucoma primario de angulo aberto
H402,Glaucoma primario de angulo fechado
H403,Glaucoma secundario a traumatismo ocular
H404,Glaucoma secundario a inflamacao ocular
H405,Glaucoma secundario a outros transtornos do olho
H406,Glaucoma secundario a drogas
H408,Outro glaucoma
H409,Glaucoma nao especificado
H420,Glaucoma em doencas endocrinas nutricionais e metabolicas classificadas em outra parte
H428,Glaucoma em outras doencas classificadas em outra parte
H430,Prolapso do humor vitreo
H431,Hemorragia do humor vitreo
H432,Depositos cristalinos no humor vitreo
H433,Outras opacidades do vitreo
H438,Outros transtornos do humor vitreo
H439,Transtorno nao especificado do humor vitreo
H440,Endoftalmite purulenta
H441,Outras endoftalmites
H442,Miopia degenerativa
H443,Outros transtornos degenerativos do globo ocular
H444,Hipotonia do olho
H445,Afeccoes degenerativas do globo ocular
H446,Corpo estranho retido antigo intraocular de natureza magnetica
H447,Corpo estranho retido antigo intraocular de natureza naomagnetica
H448,Outros transtornos do globo ocular
H449,Transtorno nao especificado do globo ocular
H450,Hemorragia vitrea em doencas classificadas em outra parte
H451,Endoftalmite em doencas classificadas em outra parte
H458,Outros transtornos do humor vitreo e do globo ocular em doencas classificadas em outra parte
H46,Neurite optica
H470,Transtornos do nervo optico nao classificados em outra parte
H471,Papiledema nao especificado
H472,Atrofia optica
H473,Outros transtornos do disco optico
H474,Transtornos do quiasma optico
H475,Transtornos de outras vias opticas
H476,Transtornos do cortex visual
H477,Transtornos nao especificados das vias opticas
H480,Atrofia optica em doencas classificadas em outra parte
H481,Neurite retrobulbar em doencas classificadas em outra parte
H488,Outros transtornos do nervo optico e das vias opticas em doencas classificadas em outra parte
H490,Paralisia do terceiro par oculomotor
H491,Paralisia do quarto par troclear
H492,Paralisia do sexto par abducente
H493,Oftalmoplegia total externa
H494,Oftalmoplegia externa progressiva
H498,Outros estrabismos paraliticos
H499,Estrabismo paralitico nao especificado
H500,Estrabismo convergente concomitante
H501,Estrabismo divergente concomitante
H502,Estrabismo vertical
H503,Heterotropia intermitente
H504,Outras heterotropias e as nao especificadas
H505,Heteroforia
H506,Estrabismo mecanico
H508,Outros estrabismos especificados
H509,Estrabismo nao especificado
H510,Paralisia do olhar conjugado
H511,Insuficiencia ou excesso de convergencia
H512,Oftalmoplegia internuclear
H518,Outros transtornos especificados do movimento binocular
H519,Transtorno nao especificado do movimento binocular
H520,Hipermetropia
H521,Miopia
H522,Astigmatismo
H523,Anisometropia e aniseiconia
H524,Presbiopia
H525,Transtornos da acomodacao
H526,Outros transtornos da refracao
H527,Transtorno nao especificado da refracao
H530,Ambliopia por anopsia
H531,Disturbios visuais subjetivos
H532,Diplopia
H533,Outros transtornos da visao binocular
H534,Defeitos do campo visual
H535,Deficiencias da visao cromatica
H536,Cegueira noturna
H538,Outros disturbios visuais
H539,Disturbio visual nao especificado
H540,Cegueira ambos os olhos
H541,Cegueira em um olho e visao subnormal em outro
H542,Visao subnormal de ambos os olhos
H543,Perda nao qualificada da visao em ambos os olhos
H544,Cegueira em um olho
H545,Visao subnormal em um olho
H546,Perda nao qualificada da visao em um olho
H547,Perda nao especificada da visao
H55,Nistagmo e outros movimentos irregulares do olho
H570,Anomalias da funcao pupilar
H571,Dor ocular
H578,Outros transtornos especificados do olho e anexos
H579,Transtorno nao especificado do olho e anexos
H580,Anomalias da funcao pupilar em doencas classificadas em outra parte
H581,Disturbios visuais em doencas classificadas em outra parte
H588,Outros transtornos especificados do olho e anexos em doencas classificadas em outra parte
H590,Ceropatia bolhosa afacica subsequente a cirurgia de catarata
H598,Outros transtornos do olho e anexos posprocedimentos
H599,Transtorno nao especificado do olho e anexos posprocedimento
H600,Abscesso do ouvido externo
H601,Celulite do ouvido externo
H602,Otite externa maligna
H603,Outras otites externas infecciosas
H604,Colesteatoma do ouvido externo
H605,Otite externa aguda naoinfecciosa
H608,Outras otites externas
H609,Otite externa nao especificada
H610,Pericondrite do pavilhao da orelha
H611,Transtornos naoinfecciosos do pavilhao da orelha
H612,Cerume impactado
H613,Estenose adquirida do conduto auditivo externo
H618,Outros transtornos especificados do ouvido externo
H619,Transtorno nao especificado do ouvido externo
H620,Otite externa em doencas bacterianas classificadas em outra parte
H621,Otite externa em doencas virais classificadas em outra parte
H622,Otite externa em micoses
H623,Otite externa em outras doencas infecciosas e parasitarias classificadas em outra parte
H624,Otite externa em outras doencas classificadas em outra parte
H628,Outros transtornos do ouvido externo em doencas classificadas em outra parte
H650,Otite media aguda serosa
H651,Outras otites medias agudas naosupurativas
H652,Otite media serosa cronica
H653,Otite media mucoide cronica
H654,Outras otites medias cronicas naosupurativas
H659,Otite media naosupurativa nao especificada
H660,Otite media aguda supurativa
H661,Otite media tubotimpanica supurativa cronica
H662,Otite media aticoantral supurativa cronica
H663,Outras otites medias supurativas cronicas
H664,Otite media supurativa nao especificada
H669,Otite media nao especificada
H670,Otite media em doencas bacterianas classificadas em outra parte
H671,Otite media em doencas virais classificadas em outra parte
H678,Otite media em outras doencas classificadas em outra parte
H680,Salpingite da trompa de Eustaquio
H681,Obstrucao da trompa de Eustaquio
H690,Trompa de Eustaquio aberta patente patulosa
H698,Outros transtornos especificados da trompa de Eustaquio
H699,Transtorno nao especificado da trompa de Eustaquio
H700,Mastoidite aguda
H701,Mastoidite cronica
H702,Petrosite
H708,Outras mastoidites e afeccoes relacionadas com a mastoidite
H709,Mastoidite nao especificada
H71,Colesteatoma do ouvido medio
H720,Perfuracao central da membrana do timpano
H721,Perfuracao atica da membrana do timpano
H722,Outras perfuracoes marginais da membrana do timpano
H728,Outras perfuracoes da membrana do timpano
H729,Perfuracao nao especificada da membrana do timpano
H730,Miringite aguda
H731,Miringite cronica
H738,Outros transtornos especificados da membrana do timpano
H739,Transtorno nao especificado da membrana do timpano
H740,Timpanosclerose
H741,Doenca adesiva do ouvido medio
H742,Descontinuidade e deslocamento dos ossiculos do ouvido
H743,Outras anormalidades adquiridas dos ossiculos do ouvido
H744,Polipo do ouvido medio
H748,Outros transtornos especificados do ouvido medio e da mastoide
H749,Transtorno nao especificado do ouvido medio e da mastoide
H750,Mastoidite em doencas infecciosas e parasitarias classificadas em outra parte
H758,Outros transtornos especificados do ouvido medio e da mastoide em doencas classificadas em outra parte
H800,Otosclerose que compromete a janela oval naoobliterante
H801,Otosclerose que compromete a janela oval obliterante
H802,Otosclerose da coclea
H808,Outras otoscleroses
H809,Otosclerose nao especificada
H810,Doenca de Meniere
H811,Vertigem paroxistica benigna
H812,Neuronite vestibular
H813,Outras vertigens perifericas
H814,Vertigem de origem central
H818,Outros transtornos da funcao vestibular
H819,Transtornos nao especificados da funcao vestibular
H82,Sindromes vertiginosas em doencas classificadas em outra parte
H830,Labirintite
H831,Fistula do labirinto
H832,Disfuncao do labirinto
H833,Efeitos do ruido sobre o ouvido interno
H838,Outros transtornos especificados do ouvido interno
H839,Transtorno nao especificado do ouvido interno
H900,Perda de audicao bilateral devida a transtorno de conducao
H901,Perda de audicao unilateral por transtorno de conducao sem restricao de audicao contralateral
H902,Perda nao especificada de audicao devida a transtorno de conducao
H903,Perda de audicao bilateral neurosensorial
H904,Perda de audicao unilateral neurosensorial sem restricao de audicao contralateral
H905,Perda de audicao neurosensorial nao especificada
H906,Perda de audicao bilateral mista de conducao e neurosensorial
H907,Perda de audicao unilateral mista de conducao e neurosensorial sem restricao de audicao contralateral
H908,Perda de audicao mista de conducao e neurosensorial nao especificada
H910,Perda de audicao ototoxica
H911,Presbiacusia
H912,Perda de audicao subita idiopatica
H913,Surdomudez nao classificada em outra parte
H918,Outras perdas de audicao especificadas
H919,Perda nao especificada de audicao
H920,Otalgia
H921,Otorreia
H922,Otorragia
H930,Transtornos degenerativos e vasculares do ouvido
H931,Tinnitus
H932,Outras percepcoes auditivas anormais
H933,Transtornos do nervo acustico
H938,Outros transtornos especificados do ouvido
H939,Transtorno nao especificado do ouvido
H940,Neurite acustica em doencas infecciosas e parasitarias classificadas em outra parte
H948,Outros transtornos especificados do ouvido em doencas classificadas em outra parte
H950,Colesteatoma recorrente da cavidade posmastoidectomia
H951,Outros transtornos consequentes a mastoidectomia
H958,Outros transtornos do ouvido e da apofise mastoide posprocedimento
H959,Transtorno nao especificado do ouvido e da apofise mastoide posprocedimento
I00,Febre reumatica sem mencao de comprometimento do coracao
I010,Pericardite reumatica aguda
I011,Endocardite reumatica aguda
I012,Miocardite reumatica aguda
I018,Outras formas de doenca cardiaca reumatica aguda
I019,Doenca cardiaca reumatica aguda nao especificada
I020,Coreia reumatica com comprometimento cardiaco
I029,Coreia reumatica sem comprometimento cardiaco
I050,Estenose mitral
I051,Insuficiencia mitral reumatica
I052,Estenose mitral com insuficiencia
I058,Outras doencas da valva mitral
I059,Doenca nao especificada da valva mitral
I060,Estenose aortica reumatica
I061,Insuficiencia aortica reumatica
I062,Estenose aortica reumatica com insuficiencia
I068,Outras doencas reumaticas da valva aortica
I069,Doenca reumatica da valva aortica nao especificada
I070,Estenose tricuspide
I071,Insuficiencia tricuspide
I072,Estenose tricuspide com insuficiencia
I078,Outras doencas da valva tricuspide
I079,Doenca nao especificada da valva tricuspide
I080,Transtornos de valvas mitral e aortica
I081,Transtornos de ambas as valvas mitral e tricuspide
I082,Transtornos de ambas as valvas aortica e tricuspide
I083,Transtornos das valvas mitral aortica e tricuspide
I088,Outras doencas de multiplas valvas
I089,Doenca nao especificada de multiplas valvas
I090,Miocardite reumatica
I091,Doencas reumaticas do endocardio valva nao especificada
I092,Pericardite reumatica cronica
I098,Outras doencas reumaticas especificadas do coracao
I099,Doenca cardiaca reumatica nao especificada
I10,Hipertensao essencial primaria
I110,Doenca cardiaca hipertensiva com insuficiencia cardiaca congestiva
I119,Doenca cardiaca hipertensiva sem insuficiencia cardiaca congestiva
I120,Doenca renal hipertensiva com insuficiencia renal
I129,Doenca renal hipertensiva sem insuficiencia renal
I130,Doenca cardiaca e renal hipertensiva com insuficiencia cardiaca congestiva
I131,Doenca cardiaca e renal hipertensiva com insuficiencia renal
I132,Doenca cardiaca e renal hipertensiva com insuficiencia cardiaca congestiva e insuficiencia renal
I139,Doenca cardiaca e renal hipertensiva nao especificada
I150,Hipertensao renovascular
I151,Hipertensao secundaria a outras afeccoes renais
I152,Hipertensao secundaria a afeccoes endocrinas
I158,Outras formas de hipertensao secundaria
I159,Hipertensao secundaria nao especificada
I200,Angina instavel
I201,Angina pectoris com espasmo documentado
I208,Outras formas de angina pectoris
I209,Angina pectoris nao especificada
I210,Infarto agudo transmural da parede anterior do miocardio
I211,Infarto agudo transmural da parede inferior do miocardio
I212,Infarto agudo transmural do miocardio de outras localizacoes
I213,Infarto agudo transmural do miocardio de localizacao nao especificada
I214,Infarto agudo subendocardico do miocardio
I219,Infarto agudo do miocardio nao especificado
I220,Infarto do miocardio recorrente da parede anterior
I221,Infarto do miocardio recorrente da parede inferior
I228,Infarto do miocardio recorrente de outras localizacoes
I229,Infarto do miocardio recorrente de localizacao nao especificada
I230,Hemopericardio como complicacao atual subsequente ao infarto agudo do miocardio
I231,Comunicacao interatrial como complicacao atual subsequente ao infarto agudo do miocardio
I232,Comunicacao interventricular como complicacao atual subsequente ao infarto agudo do miocardio
I233,Ruptura da parede do coracao sem ocorrencia de hemopericardio como complicacao atual subsequente ao infarto agudo do miocardio
I234,Ruptura de cordoalhas tendineas como complicacao atual subsequente ao infarto agudo do miocardio
I235,Ruptura de musculos papilares como complicacao atual subsequente ao infarto agudo do miocardio
I236,Trombose de atrio auricula e ventriculo como complicacao atual subsequente ao infarto agudo do miocardio
I238,Outras complicacoes atuais subsequentes ao infarto agudo do miocardio
I240,Trombose coronaria que nao resulta em infarto do miocardio
I241,Sindrome de Dressler
I248,Outras formas de doenca isquemica aguda do coracao
I249,Doenca isquemica aguda do coracao nao especificada
I250,Doenca cardiovascular aterosclerotica descrita desta maneira
I251,Doenca aterosclerotica do coracao
I252,Infarto antigo do miocardio
I253,Aneurisma cardiaco
I254,Aneurisma de arteria coronaria
I255,Miocardiopatia isquemica
I256,Isquemia miocardica silenciosa
I258,Outras formas de doenca isquemica cronica do coracao
I259,Doenca isquemica cronica do coracao nao especificada
I260,Embolia pulmonar com mencao de cor pulmonale agudo
I269,Embolia pulmonar sem mencao de cor pulmonale agudo
I270,Hipertensao pulmonar primaria
I271,Cardiopatia cifoescoliotica
I272,Outra hipertensao pulmonar secundaria
I278,Outras doencas pulmonares do coracao especificadas
I279,Cardiopatia pulmonar nao especificada
I280,Fistula arteriovenosa de vasos pulmonares
I281,Aneurisma da arteria pulmonar
I288,Outras doencas especificadas dos vasos pulmonares
I289,Doenca nao especificada dos vasos pulmonares
I300,Pericardite aguda idiopatica nao especifica
I301,Pericardite infecciosa
I308,Outras formas de pericardite aguda
I309,Pericardite aguda nao especificada
I310,Pericardite adesiva cronica
I311,Pericardite constritiva cronica
I312,Hemopericardio nao classificado em outra parte
I313,Derrame pericardico naoinflamatorio
I318,Outras doencas especificadas do pericardio
I319,Doenca nao especificada do pericardio
I320,Pericardite em doencas bacterianas classificadas em outra parte
I321,Pericardite em outras doencas infecciosas e parasitarias classificadas em outra parte
I328,Pericardite em outras doencas classificadas em outra parte
I330,Endocardite infecciosa aguda e subaguda
I339,Endocardite aguda nao especificada
I340,Insuficiencia da valva mitral
I341,Prolapso da valva mitral
I342,Estenose da valva mitral naoreumatica
I348,Outros transtornos naoreumaticos da valva mitral
I349,Transtornos naoreumaticos da valva mitral nao especificados
I350,Estenose da valva aortica
I351,Insuficiencia da valva aortica
I352,Estenose da valva aortica com insuficiencia
I358,Outros transtornos da valva aortica
I359,Transtornos nao especificados da valva aortica
I360,Estenose da valva tricuspide naoreumatica
I361,Insuficiencia da valva tricuspide naoreumatica
I362,Estenose da valva tricuspide com insuficiencia naoreumatica
I368,Outros transtornos naoreumaticos da valva tricuspide
I369,Transtornos naoreumaticos da valva tricuspide nao especificados
I370,Estenose da valva pulmonar
I371,Insuficiencia da valva pulmonar
I372,Estenose da valva pulmonar com insuficiencia
I378,Outros transtornos da valva pulmonar
I379,Transtornos nao especificados da valva pulmonar
I38,Endocardite de valva nao especificada
I390,Transtornos da valva mitral em doencas classificadas em outra parte
I391,Transtornos da valva aortica em doencas classificadas em outra parte
I392,Transtornos da valva tricuspide em doencas classificadas em outra parte
I393,Transtornos da valva pulmonar em doencas classificadas em outra parte
I394,Transtornos de multiplas valvas em doencas classificadas em outra parte
I398,Endocardite de valva nao especificada em doencas classificadas em outra parte
I400,Miocardite infecciosa
I401,Miocardite isolada
I408,Outras miocardites agudas
I409,Miocardite aguda nao especificada
I410,Miocardite em doencas bacterianas classificadas em outra parte
I411,Miocardite em doencas virais classificadas em outra parte
I412,Miocardite em outras doencas infecciosas e parasitarias classificadas em outra parte
I418,Miocardite em outras doencas classificadas em outra parte
I420,Cardiomiopatia dilatada
I421,Cardiomiopatia obstrutiva hipertrofica
I422,Outras cardiomiopatias hipertroficas
I423,Doenca endomiocardica eosinofilica
I424,Fibroelastose endocardica
I425,Outras cardiomiopatias restritivas
I426,Cardiomiopatia alcoolica
I427,Cardiomiopatia devida a drogas e outros agentes externos
I428,Outras cardiomiopatias
I429,Cardiomiopatia nao especificada
I430,Cardiomiopatia em doencas infecciosas e parasitarias classificadas em outra parte
I431,Cardiomiopatia em doencas metabolicas
I432,Cardiomiopatia em doencas nutricionais
I438,Cardiomiopatia em outras doencas classificadas em outra parte
I440,Bloqueio atrioventricular de primeiro grau
I441,Bloqueio atrioventricular de segundo grau
I442,Bloqueio atrioventricular total
I443,Outras formas de bloqueio atrioventricular e as nao especificadas
I444,Bloqueio do fasciculo anterior esquerdo
I445,Bloqueio do fasciculo posterior esquerdo
I446,Outras formas de bloqueio fascicular e as nao especificadas
I447,Bloqueio de ramo esquerdo nao especificado
I450,Bloqueio fascicular direito
I451,Outras formas de bloqueio de ramo direito e as nao especificadas
I452,Bloqueio bifascicular
I453,Bloqueio trifascicular
I454,Bloqueio intraventricular nao especifico
I455,Outras formas especificadas de bloqueio cardiaco
I456,Sindrome de preexcitacao
I458,Outros transtornos especificados da conducao
I459,Transtorno de conducao nao especificado
I460,Parada cardiaca com ressuscitacao bem sucedida
I461,Morte subita de origem cardiaca descrita desta forma
I469,Parada cardiaca nao especificada
I470,Arritmia ventricular por reentrada
I471,Taquicardia supraventricular
I472,Taquicardia ventricular
I479,Taquicardia paroxistica nao especificada
I48,Flutter e fibrilacao atrial
I490,Flutter e fibrilacao ventricular
I491,Despolarizacao atrial prematura
I492,Despolarizacao juncional prematura
I493,Despolarizacao ventricular prematura
I494,Outras formas de despolarizacao prematura e as nao especificadas
I495,Sindrome do no sinusal
I498,Outras arritmias cardiacas especificadas
I499,Arritmia cardiaca nao especificada
I500,Insuficiencia cardiaca congestiva
I501,Insuficiencia ventricular esquerda
I509,Insuficiencia cardiaca nao especificada
I510,Defeito adquirido de septo cardiaco
I511,Ruptura de cordoalha tendinea nao classificada em outra parte
I512,Ruptura de musculo papilar nao classificada em outra parte
I513,Trombose intracardiaca nao classificada em outra parte
I514,Miocardite nao especificada
I515,Degeneracao miocardica
I516,Doenca cardiovascular nao especificada
I517,Cardiomegalia
I518,Outras doencas mal definidas do coracao
I519,Doenca nao especificada do coracao
I520,Outras afeccoes cardiacas em doencas bacterianas classificadas em outra parte
I521,Outras afeccoes cardiacas em outras doencas infecciosas e parasitarias classificadas em outra parte
I528,Outras afeccoes cardiacas em outras doencas classificadas em outra parte
I600,Hemorragia subaracnoide proveniente do sifao e da bifurcacao da carotida
I601,Hemorragia subaracnoide proveniente da arteria cerebral media
I602,Hemorragia subaracnoide proveniente da arteria comunicante anterior
I603,Hemorragia subaracnoide proveniente da arteria comunicante posterior
I604,Hemorragia subaracnoide proveniente da arteria basilar
I605,Hemorragia subaracnoide proveniente da arteria vertebral
I606,Hemorragia subaracnoide proveniente de outras arterias intracranianas
I607,Hemorragia subaracnoide proveniente de arteria intracraniana nao especificada
I608,Outras hemorragias subaracnoides
I609,Hemorragia subaracnoide nao especificada
I610,Hemorragia intracerebral hemisferica subcortical
I611,Hemorragia intracerebral hemisferica cortical
I612,Hemorragia intracerebral hemisferica nao especificada
I613,Hemorragia intracerebral do tronco cerebral
I614,Hemorragia intracerebral cerebelar
I615,Hemorragia intracerebral intraventricular
I616,Hemorragia intracerebral de multiplas localizacoes
I618,Outras hemorragias intracerebrais
I619,Hemorragia intracerebral nao especificada
I620,Hemorragia subdural aguda naotraumatica
I621,Hemorragia extradural naotraumatica
I629,Hemorragia intracraniana naotraumatica nao especificada
I630,Infarto cerebral devido a trombose de arterias precerebrais
I631,Infarto cerebral devido a embolia de arterias precerebrais
I632,Infarto cerebral devido a oclusao ou estenose nao especificadas de arterias precerebrais
I633,Infarto cerebral devido a trombose de arterias cerebrais
I634,Infarto cerebral devido a embolia de arterias cerebrais
I635,Infarto cerebral devido a oclusao ou estenose nao especificadas de arterias cerebrais
I636,Infarto cerebral devido a trombose venosa cerebral naopiogenica
I638,Outros infartos cerebrais
I639,Infarto cerebral nao especificado
I64,Acidente vascular cerebral nao especificado como hemorragico ou isquemico
I650,Oclusao e estenose da arteria vertebral
I651,Oclusao e estenose da arteria basilar
I652,Oclusao e estenose da arteria carotida
I653,Oclusao e estenose de arterias precerebrais multiplas e bilaterais
I658,Oclusao e estenose de outra arteria precerebral
I659,Oclusao e estenose de arterias precerebrais nao especificadas
I660,Oclusao e estenose da arteria cerebral media
I661,Oclusao e estenose da arteria cerebral anterior
I662,Oclusao e estenose da arteria cerebral posterior
I663,Oclusao e estenose de arterias cerebelares
I664,Oclusao e estenose de arterias cerebrais multiplas e bilaterais
I668,Oclusao e estenose de outra arteria cerebral
I669,Oclusao e estenose de arteria cerebral nao especificada
I670,Disseccao de arterias cerebrais sem ruptura
I671,Aneurisma cerebral naoroto
I672,Aterosclerose cerebral
I673,Leucoencefalopatia vascular progressiva
I674,Encefalopatia hipertensiva
I675,Doenca de Moyamoya
I676,Trombose naopiogenica do sistema venoso intracraniano
I677,Arterite cerebral nao classificada em outra parte
I678,Outras doencas cerebrovasculares especificadas
I679,Doenca cerebrovascular nao especificada
I680,Angiopatia cerebral amiloidotica
I681,Arterite cerebral em doencas infecciosas e parasitarias
I682,Arterite cerebral em outras doencas classificadas em outra parte
I688,Outros transtornos cerebrovasculares em doencas classificadas em outra parte
I690,Sequelas de hemorragia subaracnoidea
I691,Sequelas de hemorragia intracerebral
I692,Sequelas de outras hemorragias intracranianas nao traumaticas
I693,Sequelas de infarto cerebral
I694,Sequelas de acidente vascular cerebral nao especificado como hemorragico ou isquemico
I698,Sequelas de outras doencas cerebrovasculares e das nao especificadas
I700,Aterosclerose da aorta
I701,Aterosclerose da arteria renal
I702,Aterosclerose das arterias das extremidades
I708,Aterosclerose de outras arterias
I709,Aterosclerose generalizada e a nao especificada
I710,Aneurisma dissecante da aorta qualquer porcao
I711,Aneurisma da aorta toracica roto
I712,Aneurisma da aorta toracica sem mencao de ruptura
I713,Aneurisma da aorta abdominal roto
I714,Aneurisma da aorta abdominal sem mencao de ruptura
I715,Aneurisma da aorta toracoabdominal roto
I716,Aneurisma da aorta toracoabdominal sem mencao de ruptura
I718,Aneurisma da aorta de localizacao nao especificada roto
I719,Aneurisma aortico de localizacao nao especificada sem mencao de ruptura
I720,Aneurisma da arteria carotida
I721,Aneurisma de arteria dos membros superiores
I722,Aneurisma da arteria renal
I723,Aneurisma de arteria iliaca
I724,Aneurisma de arteria dos membros inferiores
I728,Aneurisma de outras arterias especificadas
I729,Aneurisma de localizacao nao especificada
I730,Sindrome de Raynaud
I731,Tromboangeite obliterante doenca de Buerger
I738,Outras doencas vasculares perifericas especificadas
I739,Doencas vasculares perifericas nao especificada
I740,Embolia e trombose da aorta abdominal
I741,Embolia e trombose de outras porcoes da aorta e das nao especificadas
I742,Embolia e trombose de arterias dos membros superiores
I743,Embolia e trombose de arterias dos membros inferiores
I744,Embolia e trombose de arterias dos membros nao especificadas
I745,Embolia e trombose da arteria iliaca
I748,Embolia e trombose de outras arterias
I749,Embolia e trombose de arteria nao especificada
I770,Fistula arteriovenosa adquirida
I771,Estenose de arteria
I772,Ruptura de arteria
I773,Displasia fibromuscular arterial
I774,Sindrome de compressao da arteria celiaca
I775,Necrose de arteria
I776,Arterite nao especificada
I778,Outras afeccoes especificadas das arterias e das arteriolas
I779,Afeccoes de arterias e arteriolas nao especificadas
I780,Telangiectasia hemorragica hereditaria
I781,Nevo naoneoplasico
I788,Outras doencas dos capilares
I789,Doencas nao especificadas dos capilares
I790,Aneurisma da aorta em doencas classificadas em outra parte
I791,Aortite em doencas classificadas em outra parte
I792,Angiopatia periferica em doencas classificadas em outra parte
I798,Outros transtornos das arterias das arteriolas e dos capilares em doencas classificadas em outra parte
I800,Flebite e tromboflebite dos vasos superficiais dos membros inferiores
I801,Flebite e tromboflebite da veia femural
I802,Flebite e tromboflebite de outros vasos profundos dos membros inferiores
I803,Flebite e tromboflebite dos membros inferiores nao especificada
I808,Flebite e tromboflebite de outras localizacoes
I809,Flebite e tromboflebite de localizacao nao especificada
I81,Trombose da veia porta
I820,Sindrome de BuddChiari
I821,Tromboflebite migratoria
I822,Embolia e trombose de veia cava
I823,Embolia e trombose de veia renal
I828,Embolia e trombose de outras veias especificadas
I829,Embolia e trombose venosas de veia nao especificada
I830,Varizes dos membros inferiores com ulcera
I831,Varizes dos membros inferiores com inflamacao
I832,Varizes dos membros inferiores com ulcera e inflamacao
I839,Varizes dos membros inferiores sem ulcera ou inflamacao
I840,Hemorroidas internas trombosadas
I841,Hemorroidas internas com outras complicacoes
I842,Hemorroidas internas sem complicacoes
I843,Hemorroidas externas trombosadas
I844,Hemorroidas externas com outras complicacoes
I845,Hemorroidas externas sem complicacao
I846,Plicomas hemorroidarios residuais
I847,Hemorroidas trombosadas nao especificadas
I848,Hemorroidas nao especificadas com outras complicacoes
I849,Hemorroidas sem complicacoes nao especificadas
I850,Varizes esofagianas sangrantes
I859,Varizes esofagianas sem sangramento
I860,Varizes sublinguais
I861,Varizes escrotais
I862,Varizes pelvicas
I863,Varizes da vulva
I864,Varizes gastricas
I868,Varizes de outras localizacoes especificadas
I870,Sindrome posflebite
I871,Compressao venosa
I872,Insuficiencia venosa cronica periferica
I878,Outros transtornos venosos especificados
I879,Transtorno venoso nao especificado
I880,Linfadenite mesenterica nao especifica
I881,Linfadenite cronica exceto a mesenterica
I888,Outras linfadenites inespecificas
I889,Linfadenite nao especificada
I890,Linfedema nao classificado em outra parte
I891,Linfangite
I898,Outros transtornos naoinfecciosos especificados dos vasos linfaticos e dos ganglios linfaticos
I899,Transtornos naoinfecciosos dos vasos linfaticos e dos ganglios linfaticos nao especificados
I950,Hipotensao idiopatica
I951,Hipotensao ortostatica
I952,Hipotensao devida a drogas
I958,Outros tipos de hipotensao
I959,Hipotensao nao especificada
I970,Sindrome poscardiotomia
I971,Outros disturbios funcionais subsequentes a cirurgia cardiaca
I972,Sindrome do linfedema posmastectomia
I978,Outros transtornos do aparelho circulatorio subsequentes a procedimentos nao classificados em outra parte
I979,Transtornos do aparelho circulatorio subsequentes a procedimento nao especificado
I980,Sifilis cardiovascular
I981,Transtornos cardiovasculares em outras doencas infecciosas e parasitarias classificadas em outra parte
I982,Varizes esofagianas em doencas classificadas em outra parte
I988,Outros transtornos especificados do aparelho circulatorio em doencas classificadas em outra parte
I99,Outros transtornos do aparelho circulatorio e os nao especificados
J00,Nasofaringite aguda resfriado comum
J010,Sinusite maxilar aguda
J011,Sinusite frontal aguda
J012,Sinusite etmoidal aguda
J013,Sinusite esfenoidal aguda
J014,Pansinusite aguda
J018,Outras sinusites agudas
J019,Sinusite aguda nao especificada
J020,Faringite estreptococica
J028,Faringite aguda devida a outros microorganismos especificados
J029,Faringite aguda nao especificada
J030,Amigdalite estreptococica
J038,Amigdalite aguda devida a outros microorganismos especificados
J039,Amigdalite aguda nao especificada
J040,Laringite aguda
J041,Traqueite aguda
J042,Laringotraqueite aguda
J050,Laringite obstrutiva aguda crupe
